,verb,noun,count
0,analyze,structure,58
1,analyze,tone,29
2,analyze,use,26
3,analyze,device,23
4,assess,credibility,32
5,assess,effectiveness,31
6,assess,facet,25
7,assess,quality,23
8,classify,sentence,65
9,classify,argument,60
10,classify,type,57
11,classify,stance,33
12,commit,fallacy,495
13,commit,appeal,69
14,commit,burden,5
15,commit,begging,4
16,consider,argument,578
17,consider,statement,67
18,consider,claim,58
19,consider,text,20
20,contain,fallacy,236
21,contain,claim,88
22,contain,argument,71
23,contain,appeal,50
24,critique,use,184
25,critique,methodology,19
26,critique,effectiveness,9
27,critique,style,7
28,determine,stance,57
29,determine,type,21
30,determine,function,12
31,determine,strength,9
32,evaluate,strength,115
33,evaluate,effectiveness,65
34,evaluate,quality,55
35,evaluate,use,49
36,extract,claim,40
37,extract,argument,25
38,extract,point,20
39,extract,premise,20
40,find,one,144
41,find,instance,134
42,find,claim,24
43,find,argument,18
44,generate,counterargument,265
45,generate,argument,209
46,generate,claim,179
47,generate,rebuttal,104
48,give,argument,83
49,give,claim,47
50,give,text,31
51,give,question,29
52,have,fallacy,78
53,have,reasoning,61
54,have,premise,57
55,have,structure,41
56,identify,fallacy,421
57,identify,instance,327
58,identify,claim,202
59,identify,stance,182
60,miss,commitment,145
61,miss,intelligibility,78
62,miss,clarity,64
63,miss,relevance,62
64,provide,evidence,54
65,provide,feedback,47
66,provide,rebuttal,25
67,provide,support,18
68,select,use,61
69,select,argument,28
70,select,one,27
71,select,claim,20
72,use,argumentation,1961
73,use,language,47
74,use,appeal,33
75,use,argument,32
76,write,essay,46
77,write,argument,27
78,write,paragraph,17
79,write,rebuttal,15
